RegionID,RegionName,City,State,Metro,CountyName,2019-02,price_log
269167,Roosevelt Estates,West Palm Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,174500,5.241795431295198
270980,Deweese,Dayton,OH,Dayton,Montgomery County,77900,4.891537457672564
273869,Grandview Heights,Wichita,KS,Wichita,Sedgwick County,99300,4.9969492484953815
763421,Cottage Line,Norfolk,VA,Virginia Beach-Norfolk-Newport News,Norfolk City,208600,5.319314304090512
263124,Lakeville,Salisbury,CT,Torrington,Litchfield County,526700,5.7215633183574806
31962,Harrisville,Burrillville,RI,Providence-Warwick,Providence County,227500,5.356981400993131
273215,Chantilly,Charlotte,NC,Charlotte-Concord-Gastonia,Mecklenburg County,425200,5.628593255851259
273890,Greenbriar,Glendale,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1433100,6.1562764960030165
343378,Southwood Park,Fort Wayne,IN,Fort Wayne,Allen County,139200,5.143639235274543
272302,White Manor,Milwaukee,WI,Milwaukee-Waukesha-West Allis,Milwaukee County,135900,5.133219456732494
270447,North Domingo Baca,Albuquerque,NM,Albuquerque,Bernalillo County,282800,5.451479405124862
762986,Northeast Marion,Marion,IN,Marion,Grant County,62200,4.793790384690818
241501,Bay Colony,Virginia Beach,VA,Virginia Beach-Norfolk-Newport News,Virginia Beach City,832900,5.920592862084808
762706,Hill Street,Waterbury,CT,New Haven-Milford,New Haven County,103000,5.012837224705172
50415,Cedar Glen,Lake Arrowhead,CA,Riverside-San Bernardino-Ontario,San Bernardino County,389400,5.590395947184013
201301,Hills and Dales,West Lafayette,IN,Lafayette-West Lafayette,Tippecanoe County,264800,5.422917980767663
761252,Historic Quarter,Agoura Hills,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,806500,5.90660437172498
761753,Historic Olde Town,Arvada,CO,Denver-Aurora-Lakewood,Jefferson County,359200,5.555336327995267
214307,Park Hill,Moline,IL,Davenport-Moline-Rock Island,Rock Island County,85000,4.929418925714293
213616,Mount Washington,Eau Claire,WI,Eau Claire,Eau Claire County,161100,5.207095540419218
275966,West End,Pottstown,PA,Philadelphia-Camden-Wilmington,Montgomery County,129200,5.1112625136590655
271441,Inspiration Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,213200,5.328787200354535
418073,Wagon Wheel,Tulsa,OK,Tulsa,Tulsa County,77300,4.888179493918325
43675,Manawa,Council Bluffs,IA,Omaha-Council Bluffs,Pottawattamie County,175800,5.245018870737753
761437,Duckpond,Gainesville,FL,Gainesville,Alachua County,255300,5.407050814804251
417088,Riverlakes,Bakersfield,CA,Bakersfield,Kern County,264100,5.421768401206924
272986,Blue Hills Estates,Kansas City,MO,Kansas City,Jackson County,318000,5.502427119984433
274138,Jefferson-Monticello Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,255300,5.407050814804251
116992,Oak Hills,Carrollton,TX,Dallas-Fort Worth-Arlington,Denton County,312900,5.4954055631461936
343885,Cobbs Hill,Rochester,NY,Rochester,Monroe County,224300,5.350829273582968
417969,Florence Park,Tulsa,OK,Tulsa,Tulsa County,229000,5.359835482339888
737808,Meadow Oaks,Roseville,CA,Sacramento--Roseville--Arden-Arcade,Placer County,396500,5.598243191653623
761236,Explorers,Foster City,CA,San Francisco-Oakland-Hayward,San Mateo County,1385300,6.141543834220653
29365,Westhampton,Richmond,VA,Richmond,Richmond City,464500,5.66698571832966
110257,Prairie Creek,Rogers,AR,Fayetteville-Springdale-Rogers,Benton County,229200,5.360214613295352
276145,Woodminster,Oakland,CA,San Francisco-Oakland-Hayward,Alameda County,1132200,6.053923150548575
763828,Lombardi,Green Bay,WI,Green Bay,Brown County,145900,5.164055291893452
164114,Woodley Gardens,Rockville,MD,Washington-Arlington-Alexandria,Montgomery County,641900,5.807467375684278
270442,N Campus,Albuquerque,NM,Albuquerque,Bernalillo County,245400,5.389874558390986
270453,Onate,Albuquerque,NM,Albuquerque,Bernalillo County,244900,5.388988785124714
141468,Buck Creek,Abilene,TX,Abilene,Taylor County,161800,5.208978517276254
422784,Coventry Hills,Fort Worth,TX,Dallas-Fort Worth-Arlington,Tarrant County,230300,5.362293937964231
762650,Gemello Park,Mountain View,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2560800,6.408375661136076
268469,Shepherd Canyon,Oakland,CA,San Francisco-Oakland-Hayward,Alameda County,1091100,6.037864555774374
737981,Salem Woods,Winston-Salem,NC,Winston-Salem,Forsyth County,127300,5.104828403653656
180229,Balfour,Hendersonville,NC,Asheville,Henderson County,215300,5.333044029823487
271964,Portage Bay,Seattle,WA,Seattle-Tacoma-Bellevue,King County,1311900,6.11790073206452
342704,John Robert,Albuquerque,NM,Albuquerque,Bernalillo County,300600,5.47798897625089
762351,View Basin,Gig Harbor,WA,Seattle-Tacoma-Bellevue,Pierce County,605300,5.781970673912552
762727,Eckel Woods,West Allis,WI,Milwaukee-Waukesha-West Allis,Milwaukee County,164600,5.216429830876251
26029,Mountain Home,Johnson City,TN,Johnson City,Washington County,61200,4.786751422145561
252923,Delavan Lake,Delavan,WI,Whitewater-Elkhorn,Walworth County,188900,5.2762319579218335
208399,Birch Valley,Levittown,PA,Philadelphia-Camden-Wilmington,Bucks County,242600,5.384890796530554
407846,Clearview,Plano,TX,Dallas-Fort Worth-Arlington,Collin County,242400,5.3845326154942486
268982,Fairfax,Jacksonville,FL,Jacksonville,Duval County,257400,5.410608542568368
269538,Morris Hill,Boise,ID,Boise City,Ada County,240400,5.380934463330702
274609,Mountain First Avenue,Tucson,AZ,Tucson,Pima County,188700,5.275771900164932
